"","nigmsProjData.PI_IDS","nigmsProjData.PI_NAMEs"
"79397","1900251; ","DOUDNA, JENNIFER A;"
"79398","1894245 (contact); 10366555; ","BENACH, JORGE L. (contact); FERGUSON, DAVID L;"
"79399","1897701; ","WITTRUP, KARL D;"
"79400","1928558; ","BUTLER, JAMES SCOTT;"
"79401","1888951; ","COEN, DONALD M;"
"79402","3144105; ","CARRAGHER, BRIDGET OLIVIA;"
"79403","1876881; ","HENRY, SUSAN ARMSTRONG;"
"79404","1891876; ","MANSKY, LOUIS M;"
"79405","1885941; ","HARRIS, EVA ;"
"79406","8501481; ","MEAD, DAVID ALAN;"
"79407","1865356; ","SOUTHAN, GARRY JOHN;"
"79408","8878246; ","DELCHAM, HENDRICK D;"
"79409","1881397; ","BRILL, STEVEN J.;"
"79410","10403737; ","TOLBERT, BLANTON SMITH;"
"79411","9297223; ","AHITUV, NADAV ;"
"79412","6981467; ","BIELINSKY, ANJA-KATRIN ;"
"79413","8717084; ","YANG, WEI ;"
"79414","1965035; ","ROBERTS, II, L JACKSON;"
"79415","2755091; ","BOYER, BERT BRANDON;"
"79416","1976768; ","KOEHLER, CARLA M;"
"79417","9521841; ","IZAGUIRRE, JESUS ANTONIO;"
"79418","1887605; ","WELLS, ALAN ;"
"79419","1946186; ","BACH, ERIKA A;"
"79420","1871654; ","WALCZAK, CLAIRE E;"
"79421","1879132; ","ROTHSTEIN, RODNEY J.;"
"79422","1922179; ","NEWMEYER, DONALD DAVID;"
"79423","6607074; ","LICHTARGE, OLIVIER ;"
"79424","2447909; ","GUERINOT, MARY LOU ;"
"79425","1891556; ","CROUSE, GRAY F.;"
"79426","10121712; ","KOTULAK, KRISTIN M.;"
"79427","1896484 (contact); 8787794; ","TERNS, MICHAEL P (contact); TERNS, REBECCA ;"
"79428","1885897; ","MALONEY, PETER C;"
"79429","1895516; ","RICE, KEVIN G;"
"79430","7143197; ","CHUNG, CHANG Y;"
"79431","1961809; 6224049 (contact); ","BANERJEE, ANIRBAN ; MOORE, ERNEST EUGENE (contact);"
"79432","7039607; ","STEWART, DAVID J.;"
"79433","10956449; ","MARVIN, MICHAEL CHARLES;"
"79434","9489793; ","UBARRETXENA, IBAN ;"
"79435","1861158; ","RETTIE, ALLAN EDWARD;"
"79436","6619353; ","CHEN, LIN ;"
"79437","8005611; ","DESAI, ARSHAD ;"
"79438","1932850; ","RAJBHANDARY, UTTAM L;"
"79439","1878454; ","MOORE, MELISSA J.;"
"79440","1882133; ","STOKES, DAVID L.;"
"79441","8658829; ","CZARNY-RATAJCZAK, MALWINA ;"
"79442","1865801; ","LU, ZHE ;"
"79443","1862960; ","HITCHCOCK-DEGREGORI, SARAH ELLEN;"
"79444","1860523; ","HILL, CHRISTOPHER P.;"
"79445","9716090; ","SMOLKA, MARCUS ;"
"79446","6108672; ","FOROOZESH, MARYAM ;"
"79447","1864167; ","PARRISH, COLIN R.;"
"79448","10137728; ","SANDEFUR, CONNER IKNOKWAYYO;"
"79449","1921951; ","DOWNS, DIANA M.;"
"79450","1872767; ","KUTATELADZE, TATIANA G;"
"79451","1925907; ","MIRANKER, ANDREW D.;"
"79452","7939911; ","GAMELLI, RICHARD LOUIS;"
"79453","2095186; ","STOLTZ, BRIAN M;"
"79454","1861866; ","MANLEY, JAMES L.;"
"79455","1887852; ","KIM, JUNG JA P.;"
"79456","7771100; ","LEVCHENKO, ANDRE ;"
"79457","1885103; ","SHEEN, JEN ;"
"79458","10621141; ","GRISHCHUK, EKATERINA L;"
"79459","9011116; ","CLEMONS, WILLIAM M.;"
"79460","1858415; ","STROUD, ROBERT M;"
"79461","1889213; ","MISKIMINS, W KEITH;"
"79462","10877328; ","AIKEN, JAMES WAVELL;"
"79463","1857744; ","DIPIETRO, LUISA A;"
"79464","2091450; ","AMON, ANGELIKA B;"
"79465","1860472; ","SUNDQUIST, WESLEY I.;"
"79466","8747530; ","RYDER, SEAN PATRICK;"
"79467","7888844; ","BERRYHILL, MARIAN E;"
"79468","8742885; ","KRISTAN, DEBORAH ;"
"79469","7116311; ","ISHII, YOSHITAKA ;"
"79470","9786398; ","MONSMA, SCOTT ALLEN;"
"79471","1876869; 6987248 (contact); ","FIRTEL, RICHARD A; LASHERAS, JUAN CARLOS (contact);"
"79472","1964439; ","CORN, ROBERT M;"
"79473","1863328; ","LISKAY, ROBERT MICHAEL;"
"79474","6771152; ","MICALIZIO, GLENN C;"
"79475","10289644; ","TIMKO, BRIAN PAUL;"
"79476","10818084; ","SCHULZ, DANAE ;"
"79477","1876010; ","LORIA, JOSEPH P;"
"79478","7988188; ","CARLSTEN CHRISTIANSON, JULIE A;"
"79479","6168347; ","IYENGAR, SRINIVAS RAVI V;"
"79480","10883152; ","JOSEFOWICZ, STEVEN ZVI;"
"79481","1893768; ","FRANKEL, ALAN D;"
"79482","8265869 (contact); 7938541; ","GEORGE, JAY  (contact); SOBOL, ROBERT W;"
"79483","9338537; ","LEE, CHENG-YU ;"
"79484","1873354; ","GOLDFELD, ANNE ;"
"79485","1867652; ","TOCZYSKI, DAVID PAUL;"
"79486","6272767; ","BUCK, MATTHIAS ;"
"79487","1866768; ","GOTTESMAN, MAX ELLIOT;"
"79488","1858670; ","MUSEN, MARK A;"
"79489","9757788; ","WEBB, PAUL ;"
"79490","2419169; ","GRAVES, BARBARA J;"
"79491","10229382; ","BOUTIS, GREGORY ;"
"79492","1866407; ","JAMIESON, JAMES DOUGLAS;"
"79493","6868931; ","CHEN, TSUNG-YU ;"
"79494","1871873; ","GENNIS, ROBERT B;"
"79495","9635689; ","PERDRIZET, GEORGE A;"
"79496","9097214; ","SCHMIDT, MARION ;"
"79497","11117731; ","JENNESS, NATHAN JAY;"
"79498","1887657; ","RIO, DONALD C;"
"79499","1893768; ","FRANKEL, ALAN D;"
"79500","1882112; ","GOLDIN, ALAN L;"
"79501","8219589; ","LIM, MARK ;"
"79502","1897494; ","SCHWARTZ, WILLIAM J;"
"79503","1897208; ","DEUTSCHMAN, CLIFFORD SCOTT;"
"79504","10941080; ","HECHT, DAVID ;"
"79505","6675399; ","HOUSTON, DOUGLAS W;"
"79506","2301519; ","HUANG, LAN ;"
"79507","1893187; ","ROSNER, MARSHA R;"
"79508","6228781; ","ANDERSON, RICHARD A.;"
"79509","6613979; ","RAMAKRISHNAN, VISWANATHAN ;"
"79510","1968362; ","VAJDA, SANDOR ;"
"79511","7882223; ","WRIGHT, DOUGLAS E;"
"79512","1865596; ","CASE, DAVID A;"
"79513","7354264; ","KURODA, MITZI ;"
"79514","9211918; ","IGOSHIN, OLEG A;"
"79515","1886589; 7042133 (contact); ","LAMBRIS, JOHN D; LUPU, FLOREA  (contact);"
"79516","1880571; ","TIMCHENKO, NIKOLAI A;"
"79517","9703893; ","GUPTA, MOHAN ;"
"79518","2432889; ","VASTA, GERARDO RAUL;"
"79519","1890856; ","ELLINGTON, ANDREW D;"
"79520","1881865; ","KERN, MICHAEL J;"
"79521","7016881; ","TROUTMAN, JERRY M;"
"79522","10449033; ","GRAY, MICHAEL JEFFREY;"
"79523","1973848; ","SOLNICAKREZEL, LILIANNA ;"
"79524","1929653; ","DUMONT, MARK E.;"
"79525","10319431; ","MOZES, CHRISTINA ROSE;"
"79526","10320794; ","CARPENTER, MICHAEL ALLEN;"
"79527","7123981; ","PHILLIPS, ANDREW J.;"
"79528","1863385; ","BERMAN, HELEN M;"
"79529","1892518; ","OSLEY, MARY ANN ;"
"79530","10580179; ","DETWILER, JILLIAN TIKKA;"
"79531","1899905; ","CULOTTA, VALERIA C;"
"79532","8867575; 10338292 (contact); ","LO, YU-HWA ; MORACHIS, JOSE MANUEL (contact);"
"79533","8437612; ","MURFEE, WALTER L;"
"79534","1921951; ","DOWNS, DIANA M.;"
"79535","6082571; ","KOHANE, DANIEL S;"
"79536","8236394; ","AKEY, JOSHUA MICHAEL;"
"79537","1922665; ","MCADAMS, TODD A;"
"79538","8656807; ","HOPE, THOMAS ;"
"79539","9011116; ","CLEMONS, WILLIAM M.;"
"79540","8661782; ","ZUCKERBRAUN, BRIAN SCOTT;"
"79541","10939180; ","BRANDIZZI, FEDERICA ;"
"79542","1870321; ","GUILLEMIN, KAREN J.;"
"79543","2071262; ","YOUNG, DAVID M;"
"79544","6144991; ","COHEN, JONATHAN BREWER;"
"79545","9803293; ","PETERSON, SHERKET BRESHON;"
"79546","1893074; ","PAINE, MARY F;"
"79547","1887756; ","HAMPSEY, MICHAEL ;"
"79548","9675661; ","LOMBARD, DAVID BENNER;"
"79549","8428831; ","DESTA, ZERUESENAY ;"
"79550","1897079; ","JUSKO, WILLIAM J;"
"79551","8630548; ","MAZMANIAN, SARKIS K;"
"79552","1922833; ","SCHIFFER, CELIA A.;"
"79553","6966304; ","WALSH, CHRISTOPHER T;"
"79554","1898437; ","SPUDICH, JOHN LEE;"
"79555","7362909; 9838952 (contact); ","CREATH, KATHERINE ; MILLERD, JAMES ELSTIN (contact);"
"79556","2411437; ","GERWICK, WILLIAM HENRY;"
"79557","1885291; ","CHOU, JAMES J;"
"79558","1863166; ","BRODSKY, FRANCES M.;"
"79559","10419223; ","MCKENNEY, RICHARD JAMES;"
"79560","7852017; ","GRODZICKER, TERRI I.;"
"79561","1882339; ","KUO, PAUL C;"
"79562","8066635; ","RAUCHFUSS, THOMAS ;"
"79563","1926513; ","HONIGBERG, SAUL M;"
"79564","1875180; ","LIU, YI ;"
"79565","1882154; ","SZOKA, FRANCIS C.;"
"79566","2187997; ","NUZHDIN, SERGEY V;"
"79567","1864639; ","QIN, JUN ;"
"79568","7895946; ","HUCKA, MICHAEL ;"
"79569","2755091; ","BOYER, BERT BRANDON;"
"79570","7354268; ","JAISWAL, ANIL KUMAR;"
"79571","1863986; ","RIFKIN, DANIEL B;"
"79572","8483607; ","WILLIAMS, JAMES ;"
"79573","1941644; ","GERTLER, FRANK B;"
"79574","10980792; ","HUI, MONICA PING-TING;"
"79575","2090608; ","TOMPKINS, RONALD GARY;"
"79576","1959274; ","YOSHIKAMI, DOJU ;"
"79577","1894750; ","PAN, ZHEN-QIANG ;"
"79578","6407139; ","WESTWATER, CAROLINE ;"
"79579","8849910; ","CANAS-CARRELL, JACLYN E;"
"79580","1871440; ","QUINN, MARK T;"
"79581","1857732; ","RANKIN, GARY O.;"
"79582","1883007; ","ALBER, THOMAS C;"
"79583","1864189; ","LOKER, ERIC SAMUEL;"
"79584","9634542; ","VERSTREPEN, KEVIN JOAN;"
"79585","7358333; ","VEATCH, SARAH L;"
"79586","2048218; ","ROCK, RONALD S;"
"79587","11112702; ","NGO, DEBBY ;"
"79588","1925363; ","KAHN, RICHARD A.;"
"79589","1895170; ","SCHWACHA, MARTIN G;"
"79590","1865084; ","LEVINGER, LOUIS F;"
"79591","1901338; ","HODGSON, KEITH O;"
"79592","1887627; ","GOCHIN, MIRIAM ;"
"79593","9017027; ","COHEN, MITCHELL ;"
"79594","9459651; 9459692 (contact); ","HALEY, MICHAEL MARK; JOHNSON, DARREN WILLIAM (contact);"
"79595","1890929; ","LYBRAND, TERRY P;"
"79596","7251119; ","MITCHELL, BRIAN JOSEPH;"
"79597","2266411; ","JIANG, HAOBO ;"
"79598","1888597; ","STRUHL, KEVIN ;"
"79599","2430427; ","JERNIGAN, ROBERT L;"
"79600","9751997; ","MCLEAN, JEFFREY SCOTT;"
"79601","10914800 (contact); 9468480; ","HAWLEY, JOSHUA  (contact); LARSON, RICHARD ;"
"79602","9888923; ","AMMONS, MARY CLOUD BOSWORTH;"
"79603","6796287; ","KOZMIN, SERGEY A;"
"79604","6666356; ","AYALA, FRANCISCO J;"
"79605","1865152; ","BEARD, DANIEL A;"
"79606","1883078; ","GERLT, JOHN A;"
"79607","10596565; ","BISSONNETTE, SARAH AYANO;"
"79608","8195763; ","PICO, ALEXANDER R;"
"79609","10409744; ","PERSKY, ADAM MITCHELL;"
"79610","1899597; ","LYONS, THOMAS J;"
"79611","8550467; ","KIM, SUNYOUNG ;"
"79612","8665615; ","FENG, RUI ;"
"79613","10700174; ","HEINDL, JASON EUGENE;"
"79614","1876780; ","ELY, BERT ;"
"79615","7739498; ","DE CRECY-LAGARD, VALERIE A.;"
"79616","8000212; ","LI, HONG ;"
"79617","1871190; ","CARNES, MOLLY L.;"
"79618","1868201; ","DISTEFANO, MARK D;"
"79619","1867805; ","LANSDORP, PETER M;"
"79620","1878569; ","CULLEN, PAUL JAMES;"
"79621","9659125; ","RISSLAND, OLIVIA SELFRIDGE;"
"79622","1876792; ","LEVIN, DAVID E.;"
"79623","8878538; ","MUNSHI, ANUPAMA ;"
"79624","1888529; ","HARDING, CLIFFORD V;"
"79625","6676158; ","TING, ALICE Y;"
"79626","3086645; ","MURDOCK, DEBORAH G;"
"79627","10282167; ","GREGOR, THOMAS ;"
"79628","8619611; ","LAEDERACH, ALAIN T;"
"79629","7845920; ","HOFFMANN, ALEXANDER ;"
"79630","10318685; ","RUIZ, NATIVIDAD ;"
"79631","1965307; ","CLARK, ALLAN CLAY;"
"79632","1863223; ","SULLIVAN, WILLIAM T.;"
"79633","8650265; ","WU, PENG ;"
"79634","8366486; ","SOTO, CLAUDIO ;"
"79635","8309365; ","JOAZEIRO, CLAUDIO A.P.;"
"79636","1930872; ","SHERWOOD, DAVID R;"
"79637","1929634; ","O'BRIAN, MARK R;"
"79638","1914340; ","HANCOCK, WILLIAM OLAF;"
"79639","8004071; ","HARRIS, REUBEN S;"
"79640","8625854; ","CROWHURST, KARIN A;"
"79641","8130397; ","TANG, YI ;"
"79642","1878922; ","WILSON, IAN A;"
"79643","10762324; ","AUGUSTINE, ROBERT CHARLES;"
"79644","8188319; ","BLOBEL, CARL PETER;"
"79645","1895081; ","DUNPHY, WILLIAM G.;"
"79646","1883249; ","WASKELL, LUCY A;"
"79647","1883288; ","ZUSMAN, DAVID ROBERT;"
"79648","1879377; ","SCHIER, ALEXANDER F;"
"79649","10141123; ","MOSKOVETS, EUGENE ;"
"79650","1916428; ","BERLOT, CATHERINE H;"
"79651","1868660; ","QUESENBERRY, PETER J;"
"79652","7355207; ","MATSUO, HIROSHI ;"
"79653","1880302; ","JONES, ROGER A;"
"79654","7352629; ","SMALL, ELIZA C;"
"79655","1868718; ","CALLENDER, ROBERT ;"
"79656","6160130; ","SCHMID-SCHOENBEIN, GEERT W.;"
"79657","1965293; ","LIN, JIALING ;"
"79658","10655276; ","PAZDRO, ROBERT ;"
"79659","11318736; ","BERLYAND, LEONID ;"
"79660","1894156; ","BAR-SAGI, DAFNA ;"
"79661","1986734; ","REINHARDT, CHRISTOPHER P;"
"79662","1897692; ","GIBRAN, NICOLE SIMONE;"
"79663","6585289; ","ROHACS, TIBOR ;"
"79664","1863385; ","BERMAN, HELEN M;"
"79665","10885545; ","GARFIELD, DAVID AARON;"
"79666","1884806; ","EATON, DOUGLAS C.;"
"79667","1898331; ","PARKER, ROY ;"
"79668","1965056; ","SHUTTLEWORTH, TREVOR J.;"
"79669","6620309; ","ALTMAN, RUSS BIAGIO;"
"79670","1921546; ","BARBOUR, SUZANNE E;"
"79671","1868849; ","HO, CHIEN ;"
"79672","8775379; ","INOUE, TAKANARI ;"
"79673","8661093; ","WANG, YINGXIAO ;"
"79674","7931342; ","ZHANG, ZHIGUO ;"
"79675","1888844; ","SMELTZER, MARK S;"
"79676","8437041; ","SHI, YUJIANG GENO;"
"79677","1883006; ","FORSBURG, SUSAN L.;"
"79678","6107825; ","MEDH, JHEEM D;"
"79679","7816157; ","ZHAO, HUIMIN ;"
"79680","10131585; ","BRACHT, JOHN RUSSELL;"
"79681","7094505; ","GROSS, STEVEN S;"
"79682","1965481; ","COHEN, AMYBETH ;"
"79683","1858415; ","STROUD, ROBERT M;"
"79684","6381447; ","YEH, SYUN-RU ;"
"79685","1887648; ","MONTELIONE, GAETANO T;"
"79686","1882591; ","GRIFFITH, LESLIE C;"
"79687","1858391; ","BRENNWALD, PATRICK J;"
"79688","1898240; ","MANN, RICHARD S;"
"79689","1887103; ","TSIEN, ROGER Y;"
"79690","10282209; ","PISAREV, ANDREY ;"
"79691","6138976; ","HEBERT, MICHAEL D;"
"79692","10330153; ","STEFANIK, DEREK JOHN;"
"79693","1865288; ","PAGANO, MICHELE ;"
"79694","6277680; ","ENGEN, JOHN R;"
"79695","1863132; ","STROM, BRIAN LESLIE;"
"79696","6434313; ","SIMPSON, GARTH JASON;"
"79697","1885647 (contact); 1880397; ","SHERMAN, DAVID H (contact); SMITH, JANET L.;"
"79698","6883279; ","WEINBERGER, SCOT RANDY;"
"79699","8339807; ","MALDONADO, ROSA A;"
"79700","7880395; 7350623 (contact); ","FOURKAS, JOHN T; LOSERT, WOLFGANG  (contact);"
"79701","8967223; ","LIU, SHIH-YUAN ;"
"79702","6724242; ","PESTOVA, TATYANA V;"
"79703","6186580; ","FREEMAN, BRADLEY D;"
"79704","2104600; ","TIRRELL, DAVID A;"
"79705","1921409; ","LIPKE, PETER N;"
"79706","9230569; 6516972 (contact); ","JIANG, JIMING ; RAO, J SUNIL (contact);"
"79707","1884086; ","GULICK, ANDREW M;"
"79708","1932266; ","HUBBARD, E. JANE ALBERT;"
"79709","8965564; ","CARROLL, KATE SUZANNE;"
"79710","1918508; ","MARCHUK, DOUGLAS A;"
"79711","6065429; ","SCHEIDT, KARL A;"
"79712","1876117; ","RUBY, EDWARD G;"
"79713","10730252; ","SLOAN, DANIEL BENJAMIN;"
"79714","1878787; ","ROKITA, STEVEN E;"
"79715","1972917; ","WIKTOR, PETER J.;"
"79716","1864643; ","EMALA, CHARLES W;"
"79717","8020127; ","CHALFIE, MARTIN ;"
"79718","8427357; ","FUSE, MEGUMI M.;"
"79719","8364630; ","SCHWARTZ, THOMAS U;"
"79720","1900441; ","JACOBSON, ALLAN S.;"
"79721","1960334; ","PRINZ, RONALD J;"
"79722","8066634; ","LU, YI ;"
"79723","7842879; ","MAYINGER, PETER J;"
"79724","2094879; ","BARONDEAU, DAVID P;"
"79725","8228699; 1950624 (contact); ","JENSEN, PAUL R; MOORE, BRADLEY S (contact);"
"79726","1936703; ","SUBRAMANIAM, SHANKAR ;"
"79727","8069544; ","GILMORE, JAMES REID;"
"79728","1866999; ","MARMORSTEIN, RONEN ;"
"79729","1857785; ","SKOULTCHI, ARTHUR I;"
"79730","7032086; ","HUELSENBECK, JOHN P.;"
"79731","6365642; ","MOYE-ROWLEY, W SCOTT;"
"79732","1869979 (contact); 10220005; ","MUSE, SPENCER V. (contact); POND, SERGEI L KOSAKOVSKY;"
"79733","9448287; ","KIM, JONGHWAN ;"
"79734","1883212; ","FERRELL, JAMES E.;"
"79735","1888253; ","MILLER, WALTER L.;"
"79736","1879376; ","WU, CATHY H.;"
"79737","2238561; ","FAY, JUSTIN C.;"
"79738","1964607; ","TAMM, LUKAS K;"
"79739","9873610 (contact); 8635651; ","GERLOFF, DIETLIND L. (contact); LIBERLES, DAVID A.;"
"79740","6487865; ","JOACHIMIAK, ANDRZEJ ;"
"79741","2261585; ","TSUKIYAMA, TOSHIO ;"
"79742","2081699; ","OTTERBEIN, LEO E;"
"79743","1864679; ","SLAMA, JAMES T;"
"79744","1863424; ","BECKER, DONALD F;"
"79745","1870012; ","CHANG, GEOFFREY A;"
"79746","1952645; ","REITER, JEREMY F;"
"79747","1894713 (contact); 8330864; ","SCHWABER, JAMES  (contact); VADIGEPALLI, RAJANIKANTH ;"
"79748","8872583; ","MARCOTRIGIANO, JOSEPH ;"
"79749","8121986; ","HICKMAN, MELEAH A;"
"79750","1887787; ","GOLDEN, SUSAN S;"
"79751","2419166; ","WICKENS, MARVIN P.;"
"79752","8829498; ","SKORDALAKES, EMMANUEL ;"
"79753","1883055; ","COBB, MELANIE H.;"
"79754","8285934; ","LIU, YIFAN ;"
"79755","1886222; ","HARRIS, MICHAEL E.;"
"79756","1863346; ","HONIG, BARRY H;"
"79757","1866114; ","KIELIAN, MARGARET ;"
"79758","1894357; ","LI, HONGLIN ;"
"79759","1858722 (contact); 1883064; ","BUCK, JOCHEN  (contact); LEVIN, LONNY R;"
"79760","6184407; ","WENDLAND, BEVERLY R;"
"79761","2210355; ","CROSSON, SEAN ;"
"79762","1943975; ","FRIEDMAN, JEFFREY M;"
"79763","1865596; ","CASE, DAVID A;"
"79764","1883025 (contact); 6192265; ","MANKIN, ALEXANDER S (contact); VAZQUEZ-LASLOP, NORA ;"
"79765","8989495; ","PORCO, TRAVIS CHRISTIAN;"
"79766","6714195; ","CAVAGNERO, SILVIA ;"
"79767","1878773; ","GLASS, CHRISTOPHER K;"
"79768","8441213; ","SNELL, EDWARD H;"
"79769","10289726; ","KNAPP, GWENDOWLYN S.;"
"79770","1863293; ","MOFFAT, JOHN KEITH;"
"79771","9879756; ","SCHNEIDER, BARBARA LYNN;"
"79772","10430937; ","MARTINEZ-RIVERA, MELISSA ;"
"79773","8224313; ","EICHENBERGER, PATRICK ;"
"79774","1882154; ","SZOKA, FRANCIS C.;"
"79775","8486859; ","LIU, SHAORONG ;"
"79776","6184409; ","MATUNIS, MICHAEL J.;"
"79777","1900754; ","ASBURY, CHARLES ;"
"79778","6062786; ","HARMER, STACEY L.;"
"79779","1884558; ","PETRINI, JOHN HJ;"
"79780","1930658; ","HANNA-ROSE, WENDY ;"
"79781","1883146; ","HEYDUK, TOMASZ ;"
"79782","8892697; ","NICASTRO, DANIELA ;"
"79783","1887745; ","LEVITT, MICHAEL ;"
"79784","1965001; ","BENFEY, PHILIP N.;"
"79785","10724027; ","KERN, JUSTIN ;"
"79786","7714754; ","SMITH, WILLIAM ;"
"79787","8408666; ","BUTCHER, REBECCA A;"
"79788","8660741; ","BLANCO, ROSA E.;"
"79789","1872999; ","GHOSH, GOURISANKAR ;"
"79790","8837154; ","VALIYAVEETIL, FRANCIS ;"
"79791","11117937; ","MADDOX, AMY SHAUB;"
"79792","1876826; ","GRIFFITH, JACK D;"
"79793","8140060; ","MOVASSAGHI, MOHAMMAD ;"
"79794","8127965; ","MALKOVA, ANNA L;"
"79795","1901659; ","MAZO, ALEXANDER M;"
"79796","1881579; ","PARKIN, GERARD ;"
"79797","8201277; ","SOELLNER, MATTHEW B;"
"79798","1911023; ","LEVITT, JONATHAN B;"
"79799","2083760; ","KAPLAN, CRAIG D;"
"79800","9673215; ","MARLOW, FLORENCE LOUISE;"
"79801","1883077; ","CHO, WONHWA ;"
"79802","1864076; ","GINSBERG, MARK HOWARD;"
"79803","2419797; ","FEIGON, JULI ;"
"79804","1860036; ","PRIESS, JAMES R;"
"79805","8245371; ","MANAL, KURT T;"
"79806","10095064; ","MERENBLOOM, SAMUEL ISIAH;"
"79807","9304745; ","GALLOS, GEORGE ;"
"79808","1871515; ","O'CALLAGHAN, DENNIS JOHN;"
"79809","10101069; ","HURT, JESSICA ;"
"79810","1955021; ","KRAVITZ, EDWARD A;"
"79811","7353762; ","SLAUGHTER, GAYLE ;"
"79812","1983669; ","BUTCHER, SAMUEL E;"
"79813","1925907; ","MIRANKER, ANDREW D.;"
"79814","7344233; ","DAYIE, KWAKU ;"
"79815","8351483; ","SANTANGELO, PHILIP J;"
"79816","1898291; ","BISHOP, DOUGLAS K.;"
"79817","9600439; ","SHAPIRO, JENESSA ;"
"79818","1861158; ","RETTIE, ALLAN EDWARD;"
"79819","6296838; ","WATKINS, SIMON C;"
"79820","10928418; ","NAGHAVI, MOJGAN HOSSEINI;"
"79821","1883257; ","CURRAN, DENNIS P;"
"79822","1877715; ","HOLOSHITZ, JOSEPH ;"
"79823","1859160; ","BRADEN, CARRIE JO ;"
"79824","9021830; ","ZHENG, YUJUN ;"
"79825","1882754; ","ZACK, JEROME A.;"
"79826","2071034; ","THERIEN, MICHAEL J;"
"79827","9105946; ","AL-BASSAM, JAWDAT MH;"
"79828","1895949 (contact); 1925018; ","EANES, WALTER F. (contact); TRUE, JOHN R;"
"79829","6906070; ","BAHAR, IVET ;"
"79830","1931889; ","COLAIACOVO, MONICA P;"
"79831","7016240; ","OUTTEN, CARYN E;"
"79832","9844353; ","KOSHLAND, DOUGLAS E.;"
"79833","9257301; 1881400 (contact); ","BENYA, PAUL DAVID; TUAN, TAI-LAN  (contact);"
"79834","2422205; ","SUMMERS, MICHAEL L;"
"79835","1897052; ","DANISHEFSKY, SAMUEL J;"
"79836","1861858; ","WULFF, WILLIAM DEAN;"
"79837","1971943; ","PEI, DEHUA ;"
"79838","1866124 (contact); 11170650; ","DONG, KE  (contact); ZHOROV, BORIS ;"
"79839","8700652; ","GOBROGGE, KYLE LYNN;"
"79840","2102021; ","WANDLESS, THOMAS JAMES;"
"79841","1873061; ","WOLYNES, PETER GUY;"
"79842","1880892 (contact); 6223734; 2105478; ","DEREWENDA, ZYGMUNT S (contact); EISENBERG, DAVID ; GODZIK, ADAM ;"
"79843","1973645; ","MORANO, KEVIN ANTHONY;"
"79844","1890176; ","BARBASH, DANIEL A;"
"79845","1925946; ","WOLBERGER, CYNTHIA ;"
"79846","1896956; ","CRAIK, CHARLES SCOTT;"
"79847","2442288; ","ARYA, DEV PRIYA;"
"79848","1858909; ","BECKERLE, MARY C.;"
"79849","7538967; ","CROPP, THOMAS ASHTON;"
"79850","2442282; ","PFLUM, MARY KAY H;"
"79851","8560458; ","XING, YONGNA ;"
"79852","1876861; ","POLLARD, THOMAS D.;"
"79853","1878922; ","WILSON, IAN A;"
"79854","2084120; ","ZHENG, YIXIAN ;"
"79855","1866387; ","HARSHEY, RASIKA M;"
"79856","1885282; ","PELLMAN, DAVID S;"
"79857","8862564; ","NEELY, MICHAEL N.;"
"79858","1890460 (contact); 8541810; ","HALLORAN, M ELIZABETH (contact); LONGINI, IRA M;"
"79859","1882830; ","HALUSHKA, PERRY VICTOR;"
"79860","1887871; ","BLACKBURN, ELIZABETH H;"
"79861","1889274; ","HERNDON, DAVID N.;"
"79862","8472189; ","LIU, HAOPING ;"
"79863","9741327 (contact); 1973867; ","FOLEY, B. LACHELE (contact); WOODS, ROBERT J;"
"79864","3058423; ","BARTON, JACQUELINE K;"
"79865","10693943; ","SOHL, CHRISTAL DYANE;"
"79866","9227420; ","UZOMA, IJEOMA K;"
"79867","8409865 (contact); 9225992; ","REINHART-KING, CYNTHIA A. (contact); WU, MINGMING ;"
"79868","2069374; ","WERREN, JOHN HAYNES;"
"79869","10876905; ","SAMADANI, RAMIN ;"
"79870","8870393; ","BATES, DAVID ;"
"79871","1865977; ","TOMKINSON, ALAN E;"
"79872","10096798; ","SALLEE, JENNIFER LEIGH;"
"79873","9866201; ","YAO, TINGTING ;"
"79874","6188233; ","AKINS, DARRIN R;"
"79875","1901337; ","BURLINGAME, ALMA L;"
"79876","1862437; ","SCHWARTZ, STEVEN D;"
"79877","1938809; ","WANG, MICHELLE D.;"
"79878","9077409; ","THEOBALD, DOUGLAS LOWELL;"
"79879","7627841; ","VACHET, RICHARD W;"
"79880","1893677; ","OTWINOWSKI, ZBYSZEK ;"
"79881","7537017; ","COON, JOSHUA J;"
"79882","7740519; ","TAYLOR, WILLIAM R;"
"79883","1869345; ","GREENSTEIN, DAVID IRWIN;"
"79884","1922538; ","VELLANOWETH, ROBERT L;"
"79885","7126459; ","ABBOTT, DEREK W.;"
"79886","1876805; ","DOYLE, MICHAEL PATRICK;"
"79887","8900107; ","SHEN, WEN H.;"
"79888","1903079; ","BRODBELT, JENNIFER S;"
"79889","1883074; ","MAQUAT, LYNNE E;"
"79890","9460935; ","BUTLAND, GARETH P;"
"79891","10842806; ","LUSK, RICHARD WILLIAM;"
"79892","8343956; ","GILAD, YOAV ;"
"79893","1943072; ","ROSS, ELLIOTT M.;"
"79894","10947870; ","OGDEN, STACEY KATHRYN;"
"79895","1864111; ","CHAIKEN, IRWIN M;"
"79896","9949186; ","SHEN, AIMEE ;"
"79897","; ",",  ;"
